,Country.of.Origin,Region,Owner.1,Variety,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Total.Cup.Points
429,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,83.25
430,Mexico,chiapas,CALIXTO GUILLEN VAZQUEZ,Bourbon,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,83.25
431,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,83.25
432,Mexico,veracruz,ERNESTO RODRIGUEZ LUNA,Mundo Novo,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,83.25
433,Mexico,fortín de las flores,MODESTO LANDEROS FLORES,Caturra,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,83.25
434,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,83.25
435,Brazil,grama valley,NUCOFFEE,Yellow Bourbon,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,83.25
436,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,83.25
437,Colombia,la plata,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,83.25
438,Colombia,huila,Exportadora de Cafe Condor S.A,,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,83.25
439,Colombia,cauca,Exportadora de Cafe Condor S.A,,8,7.67,7.67,7.25,7.67,7.5,10,10,10,83.25
440,Colombia,cundinamarca,Exportadora de Cafe Condor S.A,,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,83.25
441,Brazil,south of minas,Ipanema Coffees,Bourbon,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,83.17
442,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,83.17
443,"Tanzania, United Republic Of",moshi,Taylor Winch (T) Ltd,Bourbon,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,83.17
444,Peru,,ANDREA BERNAL,,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,83.17
445,Vietnam,dala,"Sunvirtue Co., Ltd.",Catimor,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,83.17
446,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,83.17
447,Honduras,marcala,CADEXSA,Catuai,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,83.17
448,China,yunnan,Yunnan Coffee Exchange,Catimor,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,83.17
449,China,dehong prefecture,Yunnan Coffee Exchange,Catimor,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,83.17
450,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.5,7.5,7.33,7.67,8,7.67,10,10,10,83.17
451,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,83.17
452,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,83.17
453,Kenya,kenya,Taylor Winch (Coffee) Ltd.,SL28,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,83.17
454,Thailand,thailand,Doi Tung Development Project,,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,83.17
455,"Tanzania, United Republic Of",mbinga,Tutunze Kahawa Ltd,Other,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,83.17
456,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,83.17
457,Uganda,eastern,Kabum Trading company,SL14,8,7.67,7.5,7.42,7.33,7.58,10,10,10,83.17
458,Colombia,,Cafe Politico,,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,83.17
459,Honduras,san marcos,Mayra Yessenia Torres,Catuai,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,83.17
460,Honduras,comayagua,,Caturra,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,83.17
461,Guatemala,san marcos,Juan Luis Alvarado Romero,Catuai,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,83.17
462,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,83.17
463,"Tanzania, United Republic Of",kilimanjaro,Balam Hinyula,Bourbon,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,83.17
464,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,83.17
465,Mexico,chiapas,NESTOR MENDEZ GOMEZ,Typica,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,83.17
466,Mexico,"tlanchinol, hidalgo",SAUL M. HERNANDEZ RAMIREZ,Typica,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,83.17
467,Mexico,san bartolo tutotepec,SAUL M. HERNANDEZ RAMIREZ,Pacamara,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,83.17
468,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,83.17
469,Mexico,san isidro,FERNANDO MENDOZA APARICIO,Typica,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,83.17
470,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,83.17
471,Mexico,la concordia,ALFREDO BOJALIL,Typica,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,83.17
472,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,83.17
473,Brazil,mogiana,NUCOFFEE,Mundo Novo,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,83.17
474,Guatemala,oriente,Felipe Isaza,Bourbon,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,83.17
475,Brazil,south of minas,NUCOFFEE,Mundo Novo,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,83.17
476,Brazil,south of minas,NUCOFFEE,,7.58,7.75,7.67,7.5,7.67,7.58,10,10,10,83.17
477,El Salvador,santa ana,The Coffee Source Inc.,,7.42,7.83,8.17,8.08,7.17,7.58,10,9.33,10,83.17
478,Ethiopia,limu,Ethiopia Commodity Exchange,,7.75,8,7.67,8.08,7.83,7.92,9.33,9.33,9.33,83.17
479,Colombia,cundinamarca,CARCAFE LTDA CI,Caturra,7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,83.08
480,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.5,7.5,7.42,8,7.75,10,10,10,83.08
481,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,83.08
482,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,83.08
483,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Typica,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,83.08
484,Brazil,chapadão de ferro (cerrado mineiro),BOURBON SPECIALTY COFFEES,Mundo Novo,7.42,7.67,7.58,7.5,7.75,7.67,10,10,10,83.08
485,Brazil,south of minas,Ipanema Coffees,Bourbon,7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,83.08
486,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,83.08
487,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.33,7.75,7.58,7.33,7.83,7.67,10,10,10,83.08
488,Taiwan,chiayi alishan 嘉義縣阿里山鄉,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.75,7.75,7.5,7.5,7.5,7.5,10,10,10,83.08
489,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.83,7.83,7.33,7.17,7.75,7.67,10,10,10,83.08
490,Mexico,santa catarina juquila,MARIA LUISA DEL CARMEN ROJAS NARVAEZ,Other,7.75,7.67,7.42,7.75,7.5,7.5,10,10,10,83.08
491,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.67,7.58,7.5,7.67,7.92,8,9.33,9.33,10,83.08
492,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.33,7.58,7.58,7.92,7.67,7.58,10,10,10,83.08
493,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,83.08
494,Colombia,cauca,Exportadora de Cafe Condor S.A,,7.83,7.75,7.33,7.25,7.42,7.92,10,10,10,83.08
495,Indonesia,dolok sanggul,Specialty Coffee Association of Indonesia,,7.67,7.58,7.5,7.58,7.67,7.58,10,10,10,83.08
496,Guatemala,,Chris Finch,,7.92,7.67,7.67,7.25,7.83,7.67,9.33,10,10,83.08
497,Brazil,south of minas,Ipanema Coffees,Bourbon,7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,83
498,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,83
499,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,83
500,Uganda,"kasese, mt. rwenzori",UCFA,Bourbon,7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,83
501,Uganda,"kasese, mt. rwenzori",UCFA,Bourbon,7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,83
502,Colombia,huila,CARCAFE LTDA CI,,7.67,7.67,7.33,7.67,7.5,7.58,10,10,10,83
503,Vietnam,vietnam cau dat,"Sunvirtue Co., Ltd.",Caturra,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,83
504,Guatemala,nuevo oriente,Juan Luis Alvarado Romero,Catuai,7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,83
505,Guatemala,"el tumbador, san marcos",Juan Luis Alvarado Romero,Catuai,7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,83
506,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,83
507,Brazil,high mogiana,Irene Alves Santos,Catuai,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,83
508,Taiwan,嘉義阿里山,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,83
509,Uganda,kapchorwa,Star Cafe Ltd,SL14,7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,83
510,United States (Puerto Rico),yauco region,German Negron,Other,7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,83
511,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,83
512,Costa Rica,central valley,Eric Thormaehlen,Catuai,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,83
513,Brazil,sul de minas,Jacques Pereira Carneiro,Yellow Bourbon,7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,83
514,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,83
515,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,83
516,Colombia,pitalito,CARCAFE LTDA CI,Caturra,7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,83
517,Colombia,pitalito,CARCAFE LTDA CI,Caturra,7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,83
518,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,83
519,Mexico,coatepec,ROSA AURORA FALCON FERNANDEZ,Typica,7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,83
520,Mexico,atoyac de alvarez,SANTIAGO SOLIS AYERDI,Typica,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,83
521,Mexico,coatepec,ALFREDO BOJALIL,Bourbon,7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,83
522,Colombia,,Exportadora de Cafe Condor S.A,Arusha,7.67,7.58,7.5,7.5,7.75,7.5,10,10,10,83
523,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,83
524,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,83
525,Guatemala,"la reforma, san marcos",Juan Luis Alvarado Romero,Bourbon,7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,83
526,Colombia,la plata,Racafe & Cia S.C.A,Caturra,7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,83
527,Thailand,,Doi Tung Development Project,,7.33,7.67,7.58,7.5,7.75,7.67,10,10,10,83
528,Colombia,cauca,Racafe & Cia S.C.A,,7.33,7.67,7.58,7.33,7.58,7.92,10,10,10,83
529,United States (Hawaii),,Kona Pacific Farmers Cooperative,,7.83,7.83,7.67,7.83,7.92,7.83,9.33,9.33,9.33,83
530,United States (Hawaii),,Kona Pacific Farmers Cooperative,,7.5,7.58,7.42,7.58,7.58,7.67,10,10,10,83
531,Colombia,huila,Exportadora de Cafe Condor S.A,,7.5,7.58,7.67,7.67,7.58,7.58,10,10,10,83
532,Nicaragua,matagalpa,Grounds for Health Admin,Caturra,7.58,7.83,7.75,7.92,7.92,8.08,9.33,9.33,9.33,83
533,Thailand,,Doi Tung Development Project,,7.5,7.25,7.42,7.75,8.17,7.5,10,10,10,83
534,Brazil,south of minas,Ipanema Coffees,Bourbon,7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,82.92
535,El Salvador,apaneca,Consejo Salvadoreño del Café,Bourbon,7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,82.92
536,Colombia,guayata,Racafe & Cia S.C.A,Caturra,7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,82.92
537,Taiwan,"dongshan dist., tainan city 臺南市東山區","Lin, Che-Hao Krude 林哲豪",Caturra,7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,82.92
538,Ethiopia,"blida,kercha,guji,oromia",CQI Taiwan ICP CQI台灣合作夥伴,Ethiopian Heirlooms,7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,82.92
539,Taiwan,台東太麻里,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,82.92
540,Philippines,"bukidnon, mindanao, philppines",Renee A. Perrine,Other,7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,82.92
541,Philippines,asia pacific,Zarah Zamora Perez,Other,8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,82.92
542,Mexico,cuarenteño,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,82.92
543,Mexico,chiapas,Andrew Bowman,Bourbon,7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,82.92
544,Brazil,cerrado,Expocaccer Coop dos Cafeic do Cerrado Ltda,Moka Peaberry,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,82.92
545,Uganda,eastern,Kawacom Uganda LTD,SL14,8,7.5,7.5,7.58,7.33,7.42,10,10,10,82.92
546,Uganda,west nile,Nyapea coffee farmers association,SL14,7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,82.92
547,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,82.92
548,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,82.92
549,Guatemala,,Rob Tuttle,,7.58,7.58,7.25,7.58,7.58,7.58,10,10,10,82.92
550,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,82.92
551,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,82.92
552,Guatemala,huehuetenango,Juan Luis Alvarado Romero,Bourbon,7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,82.92
553,Colombia,antioquia,Olam Agro Colombia,Other,7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,82.92
554,Mexico,petatlan,MARIA GUADALUPE GOMEZ ANZO,Typica,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,82.92
555,Vietnam,don duong,Royal Base Corporation,Other,7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,82.92
556,Mexico,la cumbre,VERONICA LOPEZ CASTILLEJOS,Typica,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,82.92
557,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.5,7.5,7.5,7.42,7.67,7.83,10,10,10,82.92
558,Colombia,cauca,Racafe & Cia S.C.A,,7.5,7.75,7.33,7.75,7.08,7.83,10,10,10,82.92
559,Thailand,,Doi Tung Development Project,,7.42,7.58,7.5,7.17,7.5,8,10,10,10,82.92
560,Kenya,nyeri,Jungle Estate,SL28,7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,82.83
561,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,82.83
562,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,82.83
563,El Salvador,"el balsamo, quezaltepec",Consejo Salvadoreño del Café,Pacas,7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,82.83
564,Rwanda,gicumbi,Samuel Muhirwa,Bourbon,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,82.83
565,Vietnam,vietnam tutra,"Sunvirtue Co., Ltd.",Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,82.83
566,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,82.83
567,Brazil,cerrado,Cafebras,Catuai,7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,82.83
568,Colombia,huila,EssenceCoffee,Other,7.83,7.67,7.5,7.58,7.5,7.67,10,10,10,82.83
569,United States,berastagi,Joshua Marsceau,Other,7.42,7.58,7.25,7.5,7.75,7.75,10,10,10,82.83
570,Guatemala,antigua,Juan Luis Alvarado Romero,Bourbon,7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,82.83
571,Colombia,santander,"Coffeebythebag.com , INC",Typica,7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,82.83
572,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,82.83
573,"Tanzania, United Republic Of",arusha,Edwin Agasso,Arusha,7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,82.83
574,Mexico,la concordia,ARMANDO LUIS POHLENZ MARTINEZ,Caturra,7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,82.83
575,Mexico,veracruz,ALFREDO BOJALIL,Bourbon,7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,82.83
576,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,82.83
577,Mexico,la concordia,ALFREDO BOJALIL,Typica,7.58,7.58,7.5,7.42,7.67,7.58,10,10,10,82.83
578,El Salvador,santa ana,The Coffee Source Inc.,,7.75,7.58,7.75,7.75,7.25,7.5,10,10,10,82.83
579,Guatemala,santa rosa,Juan Luis Alvarado Romero,Caturra,7.5,7.58,7.42,7.67,7.58,7.5,10,10,10,82.75
580,Guatemala,santa rosa,Juan Luis Alvarado Romero,Caturra,7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,82.75
581,Guatemala,san marcos,Juan Luis Alvarado Romero,Bourbon,7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,82.75
582,Guatemala,santa rosa,Juan Luis Alvarado Romero,Bourbon,7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,82.75
583,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,82.75
584,Indonesia,sapan toraja,SanJava Coffee,Sulawesi,7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,82.75
585,Guatemala,el progreso,Juan Luis Alvarado Romero,Bourbon,7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,82.75
586,Taiwan,"台南市東山區( dongshan dist., tainan city)","Lin, Che-Hao Krude 林哲豪",Yellow Bourbon,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,82.75
587,El Salvador,cacahuatique,Consejo Salvadoreño del Café,Bourbon,7.67,7.67,7.17,7.33,7.58,7.67,10,10,10,82.75
588,Costa Rica,tarrazu,"CECA, S.A.",Caturra,7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,82.75
589,Honduras,comayagua,Bismarck Castro,Caturra,7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,82.75
590,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,82.75
591,China,yunnan,Yunnan Coffee Exchange,Catimor,7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,82.75
592,China,menglian,Yunnan Coffee Exchange,Catimor,7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,82.75
593,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,82.75
594,Malawi,mzuzu,AFCA,Gesha,7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,82.75
595,Guatemala,jalapa,Juan Luis Alvarado Romero,Pacas,7.75,7.42,7.25,7.75,7.5,7.67,10,10,10,82.75
596,Colombia,huila,Coffee Export,Typica,7.67,7.42,7.42,7.58,7.33,7.67,10,10,10,82.75
597,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.67,7.58,7.42,7.83,7.33,7.5,10,10,10,82.75
598,United States (Hawaii),kona,Eileen Koyanagi,Hawaiian Kona,7.58,7.83,7.75,7.75,7.42,8,9.33,9.33,10,82.75
599,Colombia,antioquia,The Coffee Source Inc.,Caturra,7.58,7.33,7.17,7.33,7.25,8.58,10,10,10,82.75
600,Mexico,chiapas,NESTOR MENDEZ GOMEZ,Typica,7.58,7.58,7.5,7.5,7.5,7.5,10,10,10,82.75
601,Mexico,veracruz,SERGIO DE LA VEQUIA BERNARDI,Typica,7.58,7.58,7.33,7.75,7.25,7.58,10,10,10,82.75
602,Mexico,atoyac de alvarez,ROMULO BELLO FLORES,Typica,8.08,8.17,8,8,7.83,7.92,6.67,10,10,82.75
603,Colombia,south huila,,Caturra,7.5,7.58,7.42,7.67,7.5,7.58,10,10,10,82.75
604,Colombia,huila,Racafe & Cia S.C.A,Caturra,7.67,7.58,7.58,7.58,7.5,7.42,10,10,10,82.75
605,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,Hawaiian Kona,7.25,7.75,7.5,7.83,7.67,7.67,9.33,10,10,82.75
606,Panama,boquete,Rachel Peterson,Catuai,7.42,7.42,7.5,7.58,7.5,7.75,10,10,10,82.75
607,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.75,7.67,7.5,7.83,7.17,7.42,10,10,10,82.75
608,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.58,7.25,7.75,7.58,7.5,10,10,10,82.67
609,Brazil,south of minas,Ipanema Coffees,Bourbon,7.5,7.58,7.5,7.67,7.5,7.42,10,10,10,82.67
610,Laos,"paksong,laos",CQI Taiwan ICP CQI台灣合作夥伴,Catimor,7.67,7.67,7.42,7.42,7.42,7.5,10,10,10,82.67
611,El Salvador,"el balsamo, quezaltepec",Consejo Salvadoreño del Café,Pacas,7.67,7.67,7.67,7.67,7.5,7.67,10,10,9.33,82.67
612,Mexico,veracruz,José Luis Rojas Yeo,,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,82.67
613,Colombia,huila,Federacion Nacional de Cafeteros,,7.75,7.5,7.33,7.58,7.33,7.75,10,10,10,82.67
614,Brazil,south of minas,Ipanema Coffees,Yellow Bourbon,7.58,7.5,7.42,7.67,7.5,7.5,10,10,10,82.67
615,Brazil,monte carmelo,BOURBON SPECIALTY COFFEES,Catuai,7.33,7.5,7.58,7.58,7.67,7.5,10,10,10,82.67
616,"Tanzania, United Republic Of",karatu arusha,Nitin Coffee Estate,Other,7.5,7.5,7.5,7.5,7.5,7.58,10,10,10,82.67
617,"Tanzania, United Republic Of",mbinga,Taylor Winch (T) Ltd,Bourbon,7.58,7.5,7.5,7.58,7.33,7.58,10,10,10,82.67
618,Taiwan,嘉義阿里山,CQI Taiwan ICP CQI台灣合作夥伴,Typica,8,7.83,7.83,7.42,7.25,7.25,10,10,10,82.67
619,Mexico,la yerba,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,7.67,7.58,7.42,7.5,7.42,7.5,10,10,10,82.67
620,Uganda,mt elgon,Kawacom Uganda LTD,SL14,7.67,7.5,7.33,7.67,7.5,7.5,10,10,10,82.67
621,Taiwan,chiayi alishan 嘉義縣阿里山鄉,CQI Taiwan ICP CQI台灣合作夥伴,Typica,7.67,7.5,7.5,7.5,7.5,7.5,10,10,10,82.67
622,Thailand,phahi,松澤宏樹 Koju Matsuzawa,Caturra,7.42,7.5,7.5,7.67,7.58,7.5,10,10,10,82.67
623,Colombia,huila,Exportadora de Cafe Condor S.A,Caturra,7.75,7.58,7.67,7.25,7.58,7.42,10,10,10,82.67
624,El Salvador,,Adam Kline,Other,7.92,8,7.5,6.75,7.92,7.58,10,10,9.33,82.67
625,Guatemala,antigua,Juan Luis Alvarado Romero,Caturra,7.67,7.67,7.17,7.67,7.5,7.5,10,10,10,82.67
626,Thailand,thailand,Doi Tung Development Project,Other,7.83,7.33,7.83,7.33,7.58,7.83,10,10,9.33,82.67
627,Mexico,,MONTEGRANDE,Other,7.58,7.58,7.42,7.58,7.42,7.5,10,10,10,82.67
628,Mexico,mahuixtlan,GRUPO CAFETALERO LOS BRUJOS SPR DE RL,Typica,7.5,7.58,7.58,7.58,7.42,7.42,10,10,10,82.67
629,Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,George A. Fernandez,,7.33,7.58,7.42,7.42,7.67,7.67,10,10,10,82.67
630,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,,7.83,7.67,7.5,7.67,7.5,7.58,10,10,9.33,82.67
631,Mexico,mexico,Young Kim,Blue Mountain,7.75,7.58,7.25,7.75,7.67,7.58,10,10,10,82.67
632,Colombia,huila,Exportadora de Cafe Condor S.A,,8.08,7.67,7.67,7.33,7.33,7.17,10,10,10,82.67
633,Colombia,,Racafe & Cia S.C.A,,7.5,7.42,7.33,7.33,7.67,7.83,10,10,10,82.67
634,Guatemala,oriente,Juan Luis Alvarado Romero,Bourbon,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,82.58
635,Taiwan,國姓鄉 guoshing township,"Lin, Che-Hao Krude 林哲豪",Typica,7.67,7.42,7.5,7.42,7.58,7.5,10,10,10,82.58
636,Brazil,south of minas,Gabriel Barbara,,7.5,7.58,7.42,7.5,7.75,7.33,10,10,10,82.58
637,Taiwan,changhua baguashan 彰化市八卦山,CQI Taiwan ICP CQI台灣合作夥伴,,7.25,7.25,7,7.08,7,7,10,10,10,82.58
